dataset,column,source_type,facet,timing,panel_use,normalization,description,rationale
award_winners,award_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the award. References {award_id} in the {awards} dataset.,Stable id used for joins and readback.
award_winners,award_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The name of the award. The possible values are: {Golden Ball}, {Silver Ball}, {Bronze Ball}, {Golden Boot}, {Silver Boot}, {Bronze Boot}, {Golden Glove}, {Best Young Player}.",In-event or post-event observation; explanatory/anchor use only.
award_winners,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the player who won the award.,In-event or post-event observation; explanatory/anchor use only.
award_winners,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the player who won the award.,In-event or post-event observation; explanatory/anchor use only.
award_winners,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
award_winners,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the player who won the award. References {player_id} in the {players} dataset.,Stable id used for joins and readback.
award_winners,shared,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the award was shared between multiple players. Coded {1} if the award was shared and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
award_winners,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the player who won the award.,In-event or post-event observation; explanatory/anchor use only.
award_winners,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
award_winners,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the player who won the award.,In-event or post-event observation; explanatory/anchor use only.
award_winners,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
award_winners,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
awards,award_description,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,A description of the award.,Entity property knowable before the match/tournament.
awards,award_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the award. Has the format {A-#}, where the number is a counter.",Stable id used for joins and readback.
awards,award_name,enum,pedigree,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The name of the award. The possible values are: {Golden Ball}, {Silver Ball}, {Bronze Ball}, {Golden Boot}, {Silver Boot}, {Bronze Boot}, {Golden Glove}, {Best Young Player}.",Entity property knowable before the match/tournament.
awards,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
awards,year_introduced,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The year the award was first introduced.,In-event or post-event observation; explanatory/anchor use only.
bookings,away_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
bookings,booking_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the booking. Has the format {B-####}, where the number is a counter that is assigned with the data sorted by the match ID, then the minute of the booking.",Stable id used for joins and readback.
bookings,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the player who was booked.,In-event or post-event observation; explanatory/anchor use only.
bookings,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the player who was booked.,In-event or post-event observation; explanatory/anchor use only.
bookings,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
bookings,home_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
bookings,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
bookings,match_date,date,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,In-event or post-event observation; explanatory/anchor use only.
bookings,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match in which the booking occurred. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
bookings,match_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the match in which the booking occurred.,In-event or post-event observation; explanatory/anchor use only.
bookings,match_period,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The period of the match in which the booking occurred. The possible values are: {first half}, {first half, stoppage time}, {second half}, {second half, stoppage time}, {extra time, first half}, {extra time, first half, stoppage time}, {extra time, second half}, {extra time, second half, stoppage time}, {after extra time}.",In-event or post-event observation; explanatory/anchor use only.
bookings,minute_label,text,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,The minute of the match in which the booking occurred in the format {#'} or {#'+#'}.,In-event or post-event observation; explanatory/anchor use only.
